product_name,overall_rating,no_ratings,no_reviews,rating,title,review
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Must buy!,"Overall laptop is very good and full package of performance, screen , and power.
I am using this laptop from past 3 year and it's performance still same as new and fast."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Value-for-money,I've been using it for almost a month. Its very good. Excellent choice for study purposes.
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Wonderful,Good product
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Awesome,Value for money
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Great product,"Got, as expected..Best product"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Just wow!,Good product with fairly a good price...
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,3,Just okay,Sound quality is very low. You cannot activate student version McAfee antivirus with personal hotmail account
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,3,Decent product,"Product is good but one basic feature is missing
Keyboard backlight not available
Not really happy for this
flipkart doesn't mention this specifications"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Value-for-money,"Good for Daily tasks. Performance is decent ,display and sound quality are fine but battery backup is not that great hardly lasts for 2-3 hours . Good value for money."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Perfect product!,"I feel like it is a best choice for day to day task, even for usual coding as well in this segment, thanks to its 8GB RAM and SSD, ensuring smooth multitasking and fast boot times. Battery life is decent, offering 6-7 hours on regular use. While the build is plastic, it remains a solid choice for students and professionals seeking a budget-friendly, reliable laptop."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Worth the money,"No backlit keyboard , budget laptop , best specs"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Fabulous!,Nice product
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,3,Fair,It's performing well so far. But battery drain really quickly!
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,3,Fair,"Good product. Overall provides value for money. But display is not upto the mark. It looks very blurry if you looking at it from side angles.
Dark corners looks very bad"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Mind-blowing purchase,Go for it but battery issue but for it
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Super!,A good choice. So far so good.
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Mind-blowing purchase,Best laptop in budget in 2023...
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Great product,"Super Model...
Slim Vivobook
Love it."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Brilliant,"Overall performance is good but battery back up as not expected, rest design and colour and look is sexy display clarity as not expected but you can buy for personal use."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Perfect product!,"Nice product , good quality"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,2,Slightly disappointed,"Not for coding.I thought it would be good if this laptop is expensive but it is nothing like that, its performance is very bad, battery backup is very poor, I never expected it to be like this. Totally disaster 😤"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Good choice,"Performance is decent as it has the latest chipset

Battery is performing pretty good now , actual performance can be reviewed after sometime

Design is a lower part in this laptop as it can be improved as you are spending handsome amount and getting a fibre plastic body at bottom which looks cheap.

Display is above average as it has a decent display and full eye protection

Overall value for money but the most disappointing things are one is plastic body at bottom and 2nd is worst audio spe...
READ MORE"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Good choice,"THIS LAPTOP CAN SUPPORT UPTO 8K VIDEOS
SIMPLE TASK CAN BE DONE IN THIS
BATTERY ONLY LASTS FOR 2.5 HRS
SPAEAKER IS GOOD."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Delightful,"Product is good
But
Flipkart customer support is worst"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Worth the money,"This laptop impresses with its sleek and premium design.The display screen is delivering rich colors and excellent clarity, perfect for both work and entertainment. Performance-wise, the code execution is seamless, handling multiple tasks and programming environments efficiently. Overall, it's a great balance of style, display quality, and performance. Thank You flipkart 😊"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Value-for-money,Excellent product
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Terrific purchase,"It's awesome and got it for 32000 8gb and 512 variant, but battery is not good it last for 3 hours only"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Just wow!,"Reviewing after using 1 week.
It's a nice laptop for office and everyday tasks.
Battery is good because it's running new.
Performance is very good with having opened multiple tabs and windows.
However it came with windows 11 home, I would like to have 11 pro.
It's worth the money.
[..I should edit the review after using for a few months to let others know how it's going..]"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Just wow!,Nice product. Value for money. Best option for studying and entry-level works. I have doubt in durability bcz plastic quality is not good . Iam very satisfied with this
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Delightful,The battery needs a little improvement to make it last longer and looks great and is value for money at this price ✅
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,5,Must buy!,Good laptop value for money
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Nice product,"Very nice . Product I'm happy.thank you so much filpkart,"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,3,Good,"The display is so bad in all angles except for straight-viewing .I suggest you never buy any laptop that doesn't have an IPS or an oled display ,otherwise your whole experience will be bad and you will regret . The battery is decent, 3.5 hours. Design-wise its good . If they had provided an IPS panel with this display , it would have been an all-rounder in this price segment."
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,3,Does the job,Battery drains very fast
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Wonderful,good laptop for basic use like office and student
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB S...,4.2,"5,789",310,4,Delightful,Worth the price
