product_name,overall_rating,no_ratings,no_reviews,rating,title,review
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Value-for-money,"Almost good performance, design but touch pad and battery back up not good."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Must buy!,"Changing the feedback after almost a month. In the start battery didn't even lasted for more than 30 mins. When I complained to HP customer support, they sent their engineer and a new battery was installed without any problem. Now it's working great. Great laptop and also great experience provided by customer service of HP."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Nice product,Amazing one
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Worth every penny,"If it fits in your budget, then you have to stop searching and go for it. The best delivery from HP Pavilion."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Classy product,Good for Administrative work
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Wonderful,"I m writing review after using one month.
Very good product from HP and very smooth
Performance I m fully satisfied with this laptop thaks Flipkart for safe delivery"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Must buy!,"Very good Laptop and value for money. Delivery was very fast, thanks a lot to Flipkart."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Terrific,The product is stilish and worth of cost
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Awesome,"Nice loptop.
Design is good.
Performance is also good.
Battery pack up is less and needed to improve.
Hp laptop is good for students and coding students.
Value for money.
Satisfied."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,3,Good,"battery backup very low only 2 to 3 hours
display qulity not good
fan sound very high
over heat issue"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Fabulous!,Best gift for my daughter value of money
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Very Good,"Amazing product from HP...
Value for Money💰👍."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Wonderful,"Got at good price of this configuration.
Pros- Very light and slim. Looks nice, sound is awesome.. Processor wise fast, Design looks great.
Cons-Resolution is not satisfactory. Battery gets down very fast.
Overall value for money product. Happy wid it, hope for long lasting service..."
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,5,Mind-blowing purchase,Battery backup need to improve ...rest all stunning performance at this range
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Good quality product,It's a good laptop but I would suggest to go for a latest upgrade in this price range. I got it at 58k.
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Very Good,Cool professional one!!
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Win...,4.2,"5,248",272,4,Value-for-money,Don't meet my expectations for Battery backup.
