product_name,overall_rating,no_ratings,no_reviews,rating,title,review
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,4,Complete review of ASUS TUF F15,"I have been using this laptop for nearly a month now and I have to say it is a performance monster. It is a very good laptop offering smooth and very good build quality for the price range.
I have been watching reviews and was confused a lot on which one to buy as we are spending a lot of money on this. Talking about money, I got this laptop for 47k which is a complete steal of a purchase in my opinion.
So let us look at each components of the laptop in my experience:

Display:-
The display o...
READ MORE"
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Just wow!,"I had a MSI GL62M-7REX gaming laptop which I had purchased back in 2018. It came with the following specifications :
CPU : i7-7700HQ
GPU : GTX 1050 Ti
RAM : 8GB DDR4 2400 MHz Upgraded to 24GB DDR4 2400 MHz
Storage : 1TB HDD + 128GB SSD

It served me well for 6 years, but it was finally time to upgrade. I had my eyes on Asus TUF series gaming laptops for a while now. And so it didn't take long to make up my mind. This specific model comes with the following specifications :
CPU - i5-11260H
GPU...
READ MORE"
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Just wow!,Best laptop in this prize range
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Excellent,"If you are looking for a beast in budget go for it without any second thought, I'm training machine learning modules, and opencv. It is working like a beast for me
Coming to Display it's ok in this budget
Coming to performance it's the best one
Charging is also moderately fine
Go for this if you are in 60k budget"
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Terrific purchase,What a nice product at this price and go for it 👍👍
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Highly recommended,Super tuf gaming
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Worth every penny,Super
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,3,Nice,"Everything is great
Pros:
1. The backlight keyboard looks so cool
2. Anti glare screen
3. 144 hz refresh rate screen
4. Decent sound quality
5. Best gaming laptop in this price segment
6. Best for programming, web development, Android development, video editing, and other graphics works or any other heavy softwares run smoothly in this laptop.
7. I purchased this product in 2023 November at 47k, if you get more discount then you should definitely go for this.
8. Design is also good.

Cons:
...
READ MORE"
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,5,Excellent,"It was tough to choose a laptop within the budget. But Asus here gave a better deal than other brands. I would give it an over all 4.5/5 in this budget range. Though the Flipkart delivery was very late, it made my wife happy (bought it for her) as the laptop is super smooth and everything is configured priorly and was a hassle free unboxing. The 16gb ram with ddr4 and hexacore combo feels great to use. Well it's a review after using it for two days. Let's hope it is trustworthy and will not d...
READ MORE"
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen...,4.3,"6,873",559,3,Just okay,"Overall performance is good with the RTX 2050 dlss support but,it feels lagging while it is not plugged in it is lagging on even normal use like surfing or office task when it is not plugged in don't know windows-os bug or something and battery life is not good."
