product_name,overall_rating,no_ratings,no_reviews,rating,title,review
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Awesome,Good
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,3,Just okay,"Impressive Performance in a Slim Package!

I recently purchased the DELL Core i3 12th Gen 1215U New Inspiron 15 Laptop from Flipkart, and I must say, it has been a delightful experience so far. This laptop combines style and substance in a sleek and slim design, making it a fantastic choice for both work and entertainment.

**Design and Build Quality (4.5/5):**
The laptop's slim and lightweight design is highly appealing. It's easy to carry around and fits comfortably in my backpack. The buil...
READ MORE"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,3,Good,Product quantity is good.It is basically 12th generation laptop from the company Dell.I have previously used dell laptop.It is a good brand by performance and efficient.
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Classy product,This product is awasam with this price range. Dell always gives you value for money product.
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Worth the money,Best in price
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Worth the money,I liked it but battery so fastly down without power but so good💕
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Brilliant,very good laptop for normal use
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,2,Could be way better,Heating issue
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Terrific purchase,"Best Laptop for the segment
Don't second guess just buy for this range"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Good choice,Everything is good but while charging charger and laptop is heating.
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Excellent,Awesome prodect.thank you
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Fabulous!,"Mind blowing purchase, its dell everything full fills you...
Just got it...
The mouse pad✅
O.S. Booting vey fast✅
Working very smoothly✅
Feeling like its worth it✅
Very fast laptop✅
Guys, really have it..
If you are looking for i3 laptop, its totally filled with everything.🤘✅"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Worth every penny,The best laptop under 45k fulfilling all the basic needs go for it 👍
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,3,Decent product,Battery back is not good only 4 hours
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,2,Bad quality,Battery Backup very bad
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,3,Just okay,Laptop is good but battery performance is not good
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Very Good,Best laptop under this price range but battery drain too fast and It's getting slightly hotter.
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Super!,Worth buying it.
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Super!,Nice 👍
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Best in the market!,Amazing 😍
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Delightful,Good for study and learning purpose.
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Good quality product,"Overall, this laptop is very good at this price range. only one thing is disappointed us battery backup."
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,4,Pretty good,Good product for Normal wark
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,1,Absolute rubbish!,"Over heating! very disappointing dont buy guys save your money by puchasing other one, honest review please don't go and suffer!"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Brilliant,"Best in the Market

In this price rnge you can't adk for more
It is lighter in weight, Big screen(15.6), Smoothly working, Easy setup, Big mouse pad, Clear and high Sound... Totally worth it for your personal and office work.. Highly recommended✨✌️✌️"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Perfect product!,"Overall experience better value for money but battery backup compromised because battery backup 3 hour
But profrormence is very better"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Awesome,The product cost is little extra.it
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Wonderful,"Thanks to dell, this laptop work very smooth and packing is stream level, my whole investment fully restored"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Highly recommended,Outlook is awesome.. budget laptop for college students
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Wonderful,Good
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Terrific purchase,Good feture better quality
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Classy product,Excellent
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Brilliant,Fast performing processor and good battery backup and look is also good
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Mind-blowing purchase,"Good product 👍 value for money.
Over all great product
Good product at this price"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 1...,4.2,"2,319",243,5,Fabulous!,"I got the same today, but i tried installing new apps and uninstalling some default apps.. and it was very quick.. the design is good, its light weight.

Thanks flipkart and the seller... 👍🏻"
