product_name,overall_rating,no_ratings,no_reviews,rating,title,review
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Value-for-money,"I didn't expect the Aspire series to give the laptop with 144hz display and 16 gb ram and 3050 gpu, but the laptop I have purchased has it all, I also owned an acer aspire 7 laptop with a 60hz display and the difference is visible. Happy with the purchase, will keep you all posted with a long term usage review."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,3,Does the job,Battery lasted longer than my first relationship (2.5 hours). Listening to arijit singh songs on full volume since then still isn't getting over(weak speaker). Has more warmth than her. unlike her there's two way communication here as touchpad is very responsive. Fingerprint lock is nice as it only opens up to me. 5 stars for this -2 for My ex
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Very Good,"-Power Zabardast⚡⚡⚡
-Design Good.
-Display Good,can play 8k videos easily.
-The battery drains quickly while gaming, but enough while normal use.4 hours
-speaker quality is low
-finger sensor fast working
-Excellent laptop for CAD softwares"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Wonderful,I am writing this review after using it one week. It just awesome if you want to play game sometimes along with official work. You gone love it. It only heats while using for heavy gaming otherwise no heating at all in day to day work.
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,3,Just okay,"I am sharing my review of this laptop after using it for two months. Overall, I have found the laptop's performance to be satisfactory. However, there are a few areas where it could be improved.

Pros:
- The laptop's performance is commendable. It handles everyday tasks and multitasking with ease.

Cons:
- The battery life is average. It tends to drain quickly, especially under heavy usage.
- The sound quality is subpar. The volume output is quite low, which can be disappointing when watchi...
READ MORE"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Fabulous!,Value for money
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,3,Good,Battery backup is only for 1.5 to 2 hrs on normal use. Can't hear anything from speaker i think there is no speaker.
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Good quality product,The speaker quality is not too good and also the brightness is just okay. It some has software glitch that breaks the sound during session rest it is a value for money gadge
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Really Nice,"Best in this price range. Battery backup is decent (unlike other reviews. And it depends on usage and optimisation)
2-3 cons that I noticed ( rest everything is perfect for me):
1. Speakers are not loud but it's a not a big thing for me, I can use external speakers.
2. During gaming, heats a bit around the keyboard area as the air flows through the keyboard into the fans and gets out of the bottom.
3. Wish it would have additional storage capacity for one more ssd"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Excellent,"Very powerful laptop
Allrounder performance"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Pretty good,I loved this one... First laptop of my life and I'm fully satisfied with it except battery.
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Fabulous!,"Really good laptop at this price, using it from past 1 week and all the cpu and gpu are working to its max limits which is really good...

Pros- 16gb ram with rtx 3050(60W) is superb for gaming and entry level editing
Cons- Speakers are bad, not too bad as i read in the reviews,
Battery backup is decent, 4-5hrs on casual use and 2-3 hours on gaming...

A good laptop which is useful for both gaming as well as work purposes, at this decent price is smtg u need to look for"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Fabulous!,"The product is worth for price and the audio is low because of the driver,we can fix it by installing third party audio drivers."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Wonderful,Overall the product i received was value for money but the only con i faced was its speakers.
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Good quality product,Best laptop ever for beginners 😀
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Perfect product!,Just good... But battery drains pretty fast.. due to graphic card...
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Nice product,"Was good, occasionally sucks, that's because I use really heavy apps such as abaqus, fusion 360, MATLAB, ansys for my research, I play GTA V too. No lag, it's really smooth. Not 10/10 but 9.2/10, I am a heavy user my laptop is on all the time 16 GB Ram and i5 gaming processor at this price was just perfect.
I use external hard disk so, SSD is at its optimal speed"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Good choice,"Performance is good i played games like valorant Lara croft no lag , screen drop but charge backup is less ."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Delightful,"Nice 👍 value for money. Display is good and also key is very smoothly press and very nice performance.

----Draw back ---
But only one draw back is speaker 🔇 sound is slow."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,3,Good,"Performance is good but the keyboard heats up a lot.
Trackpad might be better, Acer should give a glass trackpad.
Vents are in an awful place, as it is throwing air on the screen, the screen heats up. I don't know how much it will survive ?

Overall laptop heats up after a heavy task.

Companies should add a privacy shutter for the camera at least as it is a small addition.

Camera quality is not so good."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,4,Delightful,"Very smooth performances, it has an anti-glare display as well 144 hertz"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Brilliant,"I'm writing this review after using 10 days of my laptop.
Working fine
144hz display
I bought this in exchange offer
With 44000 rs only
Rtx 3050 amazing graphiccard"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Great product,"I've had this laptop for two months now, and it's been working great. I haven't had any problems with it yet."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Mind-blowing purchase,"It's good for gaming, multitasking,and coding.
It's speaker is not preety good expect specker
Everything is good."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Best in the market!,"Value for money is this product, you can buy it perfectly but battery backup is not good,,,,,display quality is good and speaker is average battery backup is 3 to 4 hours only This was my experience. What do you think about it?"
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Just wow!,"It's a gaming laptop with a professional look. At this price RTX 3050 is good but it's power is less, only 60 TGP."
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SS...,4.2,"2,277",181,5,Worth every penny,Good product
