product_name,overall_rating,no_ratings,no_reviews,rating,title,review
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,4,Nice product,Except heating issue other all things are good. I urge zebronics to get firmware update to overcome heating issue..
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,4,Pretty good,Yes we can play GTA v easily smooth
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,5,Brilliant,"Performance: very good.
Build quality is excellent.
Battery backup is 4-6 hrs continuous use.
Design is premium.
Ram and SSD are both upgradable.
Overall the product is very good 💯."
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,4,Good choice,value for money laptop good performance
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,5,Fabulous!,Best laptop under this price . Only thing which can disappoint is no backlit
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,4,Wonderful,"After using 20 days
Pros
Design and build quality is gud and looking premium
Performance is good
Only one thing is battery drain so fast
And charging also bit slow
And sometimes getting High heating
For basic work and college students go for it worth for money"
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,4,Does the job,Laptop is good but while charging laptop produs shok how can I fix this please help me any suggestions?
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,4,Good choice,Good quality Product. Value For Money. I am writing a review After 10 days of Delivery. Battery backup 4 to 5 Hours.Performance is Good But sometime Small glitch are found.
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,3,Just okay,Product is good but purchase not Flipkart
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/51...,3.9,866,119,5,Highly recommended,"This is my review after four months buying.
It's performance is good and battery also good, design and display is pretty much more better than other laptop, and offcourse it value for money those who are searching for coding, basic video editing like davinci resolve and premiere pro or office level purpose also too much good I think this laptop is good for those who are searching under 30000 rupees."
